Playlist Health Check Report
Generated: 2026-07-24 02:48 UTC

--- Details ---

[OK] ANDREA MAZZOLI - IL PITTORE DEI RICORDI | OK | EPG MISSING
[OK] EDO JANICH - LO SCULTORE DEL VUOTO | OK | EPG MISSING
[OK] IL BALLO DELLE SPIRITATE | OK | EPG MISSING
[OK] IL PROFUMO DEL MIRTO | OK | EPG MISSING
[OK] LA RABBIA | OK | EPG MISSING
[OK] MATERIA | OK | EPG MISSING
[OK] OLTRE IL MARKETING 1 | OK | EPG MISSING
[OK] OLTRE IL MARKETING 2 | OK | EPG MISSING
[OK] OLTRE IL MARKETING 3 | OK | EPG MISSING
[OK] OLTRE IL MARKETING 4 | OK | EPG MISSING
[OK] PASOLINI STORIES | OK | EPG MISSING
[OK] RESPIRANDO CON LA MUSICA | OK | EPG MISSING
[OK] SPAZIO RITRATTO DI ARCHITETTI | OK | EPG MISSING
[OK] STORY RIDERS | OK | EPG MISSING
[OK] STRADE DI MUSICA | OK | EPG MISSING
[OK] VERITA' NUDA | OK | EPG MISSING
[OK] XCAT - PURA ADRENALINA SULL'ACQUA | OK | EPG MISSING
[OK] 404 FILE NOT FOUND | OK | EPG MISSING
[OK] ANTONIO E IL SUO MARE | OK | EPG MISSING
[OK] ARRIVEDERCI PARIS | OK | EPG MISSING
[OK] ASHES | OK | EPG MISSING
[OK] BEHIND THE FLAME | OK | EPG MISSING
[OK] E STATO UN PIACERE | OK | EPG MISSING
[OK] FACCIAMOLA FINITA | OK | EPG MISSING
[OK] FRATELLI MINORI | OK | EPG MISSING
[OK] GLI EFFETTI DEL GOLEM ACIDO DELLA DISTRUZIONE | OK | EPG MISSING
[OK] HIDDEN TRUTHS | OK | EPG MISSING
[OK] I WANT YOU | OK | EPG MISSING
[OK] IL CIOCCOLATINO | OK | EPG MISSING
[OK] IL CUORE RUBATO | OK | EPG MISSING
[OK] IL DILUVIO UNIVERSALE | OK | EPG MISSING
[OK] IL FRUTTO PROIBITO | OK | EPG MISSING
[OK] IL GIARDINO DEI SOGNI PERDUTI | OK | EPG MISSING
[OK] IL MARITOZZO | OK | EPG MISSING
[OK] IL MIO AMICO E.T. | OK | EPG MISSING
[OK] IL NONNO | OK | EPG MISSING
[OK] IN MEZZO ALLE TERRE | OK | EPG MISSING
[OK] IO E MIO FRATELLO | OK | EPG MISSING
[OK] L ULTIMA SCOMMESSA | OK | EPG MISSING
[OK] L'AMORE E' BASTA | OK | EPG MISSING
[OK] LA CRISI | OK | EPG MISSING
[OK] LA LUNGA NOTTE DI DOUG | OK | EPG MISSING
[OK] LA MUSICA NELL'ANIMA | OK | EPG MISSING
[OK] LA RICCHEZZA DI NAPOLI | OK | EPG MISSING
[OK] LA VALSE DE AUDIEX | OK | EPG MISSING
[OK] LES VOYEURS | OK | EPG MISSING
[OK] MANCO MORTO | OK | EPG MISSING
[OK] MARZIA | OK | EPG MISSING
[OK] MIRABILIA | OK | EPG MISSING
[OK] NOI | OK | EPG MISSING
[OK] NOUVELLE VR | OK | EPG MISSING
[OK] NOVEL | OK | EPG MISSING
[OK] QUANDO SOFFIA IL VENTO | OK | EPG MISSING
[OK] REDLIGHT | OK | EPG MISSING
[OK] ROSA BLU | OK | EPG MISSING
[OK] SATURDAY VILLAGE - IL SABATO DEL VILLAGGIO | OK | EPG MISSING
[OK] SPACE MISADVENTURES - COVID19 FROM OUTER SPACE 1 | OK | EPG MISSING
[OK] SPACE MISADVENTURES - HEIR OF SPACE 3 | OK | EPG MISSING
[OK] SPACE MISADVENTURES - THE BRIDE OF THE SKYMAN 2 | OK | EPG MISSING
[OK] STAR CUOC | OK | EPG MISSING
[SKIP] === Abruzzo=== | Placeholder
[OK] Rai 3 TGR Abruzzo | OK | EPG MISSING
[OK] Diciotto | OK | EPG MISSING
[OK] Info Media News | OK | EPG MISSING
[OK] Info Media News | OK | EPG MISSING
[OK] OndaTv (1984) | OK | EPG MISSING
[OK] R115 | OK | EPG MISSING
[OK] Radio Parsifal TV | OK | EPG MISSING
[OK] Rete8 | OK | EPG MISSING
[OK] Rete 8 | OK | EPG MISSING
[OK] Rete8 Sport | OK | EPG MISSING
[OK] Rete 8 Sport | OK | EPG MISSING
[OK] Rete Tv Italia | OK | EPG MISSING
[OK] Super J Tv | OK | EPG MISSING
[DOWN] Tele Ponte Abruzzo | DOWN | EPG MISSING
[OK] TeleAbruzzo (Abruzzo Tv) | OK | EPG MISSING
[OK] Telemolise | OK | EPG MISSING
[OK] TV1 Sulmona | OK | EPG MISSING
[OK] TVSEI | OK | EPG MISSING
[OK] Telemax | OK | EPG MISSING
[SKIP] === Basilicata=== | Placeholder
[OK] Rai 3 TGR Basilicata | OK | EPG MISSING
[OK] Le Cronache TV | OK | EPG MISSING
[DOWN] Carina TV | DOWN | EPG MISSING
[OK] La Nuova Tv | OK | EPG MISSING
[OK] Le Cronache | OK | EPG MISSING
[DOWN] Radio Carina TV | DOWN | EPG MISSING
[OK] Set Tv Cilento | OK | EPG MISSING
[OK] Trm H24 | OK | EPG MISSING
[OK] TVSEI | OK | EPG MISSING
[OK] Telenorba | OK | EPG MISSING
[OK] TG Norba 24 | OK | EPG MISSING
[OK] Telemolise (Basilicata) | OK | EPG MISSING
[OK] Radio Città TV | OK | EPG MISSING
[SKIP] === Calabria=== | Placeholder
[OK] Rai 3 TGR Calabria | OK | EPG MISSING
[OK] 95 Rete Reggio | OK | EPG MISSING
[OK] CalabriaUno TV | OK | EPG MISSING
[OK] Calabria TV | OK | EPG MISSING
[OK] Castrovillari TV | OK | EPG MISSING
[OK] Esperia TV | OK | EPG MISSING
[OK] Esperia TV | OK | EPG MISSING
[OK] Italia Cable | OK | EPG MISSING
[OK] Jonica Radio Tv | OK | EPG MISSING
[OK] LaC News 24 | OK | EPG MISSING
[OK] LaC OnAir | OK | EPG MISSING
[OK] LaC Sat | OK | EPG MISSING
[OK] LaC Tv Calabria | OK | EPG MISSING
[OK] Canale 9 | OK | EPG MISSING
[OK] L'altro Corriere TV | OK | EPG MISSING
[OK] Eccellenza Calabria | OK | EPG MISSING
[OK] Matrix TV Italia | OK | EPG MISSING
[OK] MediaSud Calabria | OK | EPG MISSING
[OK] Piana TV | OK | EPG MISSING
[OK] Promovideo Tv | OK | EPG MISSING
[OK] PromovideoTV | OK | EPG MISSING
[OK] Radio Digiesse | OK | EPG MISSING
[OK] Reggio Tv | OK | EPG MISSING
[OK] R.T.C. Telecalabria | OK | EPG MISSING
[OK] RTI Calabria | OK | EPG MISSING
[OK] Tele A1 | OK | EPG MISSING
[OK] Tele Bruzzano | OK | EPG MISSING
[OK] Tele Mia | OK | EPG MISSING
[OK] Tele Mia Extra | OK | EPG MISSING
[OK] Telejonio | OK | EPG MISSING
[OK] Telespazio TV | OK | EPG MISSING
[OK] Ten | OK | EPG MISSING
[OK] TUA Channel | OK | EPG MISSING
[OK] Video Calabria | OK | EPG MISSING
[OK] Wedding TV | OK | EPG MISSING
[SKIP] === Campania=== | Placeholder
[OK] Rai 3 TGR Campania | OK | EPG MISSING
[OK] Campania TV | OK | EPG MISSING
[OK] Canale 21 Campania | OK | EPG MISSING
[DOWN] Canale 8 | DOWN | EPG MISSING
[OK] Canale 8 (solo durante eventi live) | OK | EPG MISSING
[DOWN] Cilentano Tv | DOWN | EPG MISSING
[OK] CRC News | OK | EPG MISSING
[OK] FL Television | OK | EPG MISSING
[OK] InfoCilento | OK | EPG MISSING
[OK] Italia2 Tv | OK | EPG MISSING
[OK] Italia2 Tv | OK | EPG MISSING
[OK] Kiss Kiss Napoli TV | OK | EPG MISSING
[OK] Kiss Kiss Napoli TV | OK | EPG MISSING
[OK] Lab TV | OK | EPG MISSING
[OK] LabTV | OK | EPG MISSING
[OK] Lira Tv | OK | EPG MISSING
[OK] Medjugorje Italia Tv | OK | EPG MISSING
[OK] Minformo Tv | OK | EPG MISSING
[OK] Nora TV | OK | EPG MISSING
[OK] Nuvola TV | OK | EPG MISSING
[OK] Otto Channel | OK | EPG MISSING
[OK] Paradise Tv | OK | EPG MISSING
[OK] Partenope TV | OK | EPG MISSING
[OK] Prima TV Napoli | OK | EPG MISSING
[OK] Quarto Canale | OK | EPG MISSING
[OK] Radio Capri | OK | EPG MISSING
[OK] Radio CRC TV | OK | EPG MISSING
[OK] Radio Ibiza TV | OK | EPG MISSING
[OK] Radio Marte Tv | OK | EPG MISSING
[OK] RCS 75 | OK | EPG MISSING
[OK] SET TV | OK | EPG MISSING
[OK] Rtc Quarta Rete | OK | EPG MISSING
[OK] Stereo 5 TV | OK | EPG MISSING
[OK] Stile Tv | OK | EPG MISSING
[DOWN] Tele A (Canale 18 Campania) | DOWN | EPG MISSING
[OK] Tele A (Campania) | OK | EPG MISSING
[OK] TeleClubItalia | OK | EPG MISSING
[OK] Tele Colore Salerno | OK | EPG MISSING
[OK] Teleischia | OK | EPG MISSING
[OK] Teleischia | OK | EPG MISSING
[OK] Telelaser | OK | EPG MISSING
[OK] Telemiracoli | OK | EPG MISSING
[OK] TeleStabia | OK | EPG MISSING
[OK] Tv Campi Flegrei | OK | EPG MISSING
[OK] Tv Luna Napoli | OK | EPG MISSING
[OK] TV7 Benevento | OK | EPG MISSING
[OK] TV7 | OK | EPG MISSING
[DOWN] VideoNola | DOWN | EPG MISSING
[SKIP] === Emilia Romagna=== | Placeholder
[OK] Rai 3 TGR Emilia-Romagna | OK | EPG MISSING
[OK] 7 Gold Sestarete | OK | EPG MISSING
[OK] 12 Tv Parma | OK | EPG MISSING
[OK] 12 TV Parma | OK | EPG MISSING
[OK] DI-TV 80 | OK | EPG MISSING
[OK] DI.TV 92 | OK | EPG MISSING
[OK] ETV Rete7 | OK | EPG MISSING
[OK] ETV Rete7 | OK | EPG MISSING
[OK] Giovanni Paolo TV | OK | EPG MISSING
[OK] Icaro Tv | OK | EPG MISSING
[OK] Icaro TV Rimini | OK | EPG MISSING
[OK] MadeinBO Radio Tv | OK | EPG MISSING
[OK] Magazine TV | OK | EPG MISSING
[OK] Radio Bruno | OK | EPG MISSING
[OK] Rete8 | OK | EPG MISSING
[OK] Radio Studio Delta TV | OK | EPG MISSING
[OK] Telestense | OK | EPG MISSING
[OK] Tele Romagna 24 | OK | EPG MISSING
[OK] Tele Tricolore | OK | EPG MISSING
[OK] Tele Liberta' HD | OK | EPG MISSING
[OK] TeleRomagna | OK | EPG MISSING
[OK] TeleRomagna | OK | EPG MISSING
[OK] Teletricolore Reggio | OK | EPG MISSING
[OK] TRC Bologna | OK | EPG MISSING
[OK] TRC Modena | OK | EPG MISSING
[OK] TR Sport | OK | EPG MISSING
[OK] Tv Qui Modena | OK | EPG MISSING
[OK] Videoregione | OK | EPG MISSING
[OK] Videoregione | OK | EPG MISSING
[SKIP] === Friuli Venezia Giulia=== | Placeholder
[OK] Rai 3 TGR Friuli-Venezia Giulia | OK | EPG MISSING
[OK] Canale 6 | OK | EPG MISSING
[OK] Canale77 | OK | EPG MISSING
[OK] Fly Tv | OK | EPG MISSING
[OK] FriuliTV24 | OK | EPG MISSING
[OK] Mater-Dei Tv | OK | EPG MISSING
[OK] Radio Bellla e Monella TV | OK | EPG MISSING
[OK] Radio Piterpan TV | OK | EPG MISSING
[OK] Radio Punto Zero TV | OK | EPG MISSING
[OK] Radio Sorriso TV | OK | EPG MISSING
[DOWN] Ran Friul | DOWN | EPG MISSING
[DOWN] Ran Germ | DOWN | EPG MISSING
[DOWN] Ran Network | DOWN | EPG MISSING
[DOWN] Ran News | DOWN | EPG MISSING
[DOWN] Ran Slo | DOWN | EPG MISSING
[DOWN] Ran Sport | DOWN | EPG MISSING
[DOWN] Ran Stereo | DOWN | EPG MISSING
[OK] SuperSix 24 | OK | EPG MISSING
[DOWN] Tele Alto But | DOWN | EPG MISSING
[OK] Telechiara | OK | EPG MISSING
[OK] TeleFriuli | OK | EPG MISSING
[OK] TeleQuattro | OK | EPG MISSING
[OK] TeleQuattro | OK | EPG MISSING
[OK] TV12 | OK | EPG MISSING
[OK] TVM | OK | EPG MISSING
[OK] Video Tele Carnia | OK | EPG MISSING
[SKIP] === Lazio=== | Placeholder
[OK] Rai 3 TGR Lazio | OK | EPG MISSING
[OK] Alma TV | OK | EPG MISSING
[OK] AP Channel | OK | EPG MISSING
[OK] Canale 10 | OK | EPG MISSING
[OK] Canale 10 [Not 24/7 | OK | EPG MISSING
[OK] Canale 10 Ostia (540p) [Not 24/7] | OK | EPG MISSING
[OK] Canale 21 Extra | OK | EPG MISSING
[SKIP] Canale 63 | Known issue
[OK] Canale 81 | OK | EPG MISSING
[OK] Easy & Italy | OK | EPG MISSING
[OK] Extra TV | OK | EPG MISSING
[OK] Gold TV Roma | OK | EPG MISSING
[OK] La Rockaforte TV | OK | EPG MISSING
[OK] La Voce TV | OK | EPG MISSING
[OK] LazioTV | OK | EPG MISSING
[OK] Manà Manà Sport | OK | EPG MISSING
[DOWN] Odeon 24 | DOWN | EPG MISSING
[OK] Radio Immagine TV | OK | EPG MISSING
[OK] Radio Mambo TV | OK | EPG MISSING
[OK] Radio Radio TV | OK | EPG MISSING
[OK] Radio Rock TV | OK | EPG MISSING
[OK] Radio Roma News | OK | EPG MISSING
[OK] Radio Roma | OK | EPG MISSING
[OK] RC88 | OK | EPG MISSING
[OK] Rete Oro | OK | EPG MISSING
[OK] RTR 99 TV | OK | EPG MISSING
[OK] Rete Sole | OK | EPG MISSING
[OK] Romit TV | OK | EPG MISSING
[OK] RTR99 Ti Ricordi | OK | EPG MISSING
[DOWN] SL48 | DOWN | EPG MISSING
[OK] StandbyTV | OK | EPG MISSING
[DOWN] T9 | DOWN | EPG MISSING
[OK] Teleambiente | OK | EPG MISSING
[OK] Telegolfo RTG | OK | EPG MISSING
[OK] Teleitalia 41 | OK | EPG MISSING
[OK] TeleTibur | OK | EPG MISSING
[OK] TeleTibur | OK | EPG MISSING
[OK] TU Day | OK | EPG MISSING
[OK] Tuscia Sabina 2000 | OK | EPG MISSING
[OK] TRL | OK | EPG MISSING
[SKIP] === Liguria=== | Placeholder
[OK] Rai 3 TGR Liguria | OK | EPG MISSING
[OK] 111 Tv | OK | EPG MISSING
[OK] Entella Tv | OK | EPG MISSING
[OK] Entella Tv (720p) [Not 24/7] | OK | EPG MISSING
[OK] Primocanale | OK | EPG MISSING
[OK] Primocanale (Liguria) | OK | EPG MISSING
[OK] Telecupole Liguria | OK | EPG MISSING
[OK] TeleGenova | OK | EPG MISSING
[OK] Tele Liguria Sud | OK | EPG MISSING
[OK] Telenord | OK | EPG MISSING
[OK] Telenord | OK | EPG MISSING
[OK] Telepace 1 | OK | EPG MISSING
[OK] Telepace 2 | OK | EPG MISSING
[OK] Telepace 3 | OK | EPG MISSING
[OK] Telepace 4 | OK | EPG MISSING
[OK] Welcome Liguria | OK | EPG MISSING
[SKIP] === Lombardia=== | Placeholder
[OK] Rai 3 TGR Lombardia | OK | EPG MISSING
[OK] 70-80.it | OK | EPG MISSING
[OK] Ama TV | OK | EPG MISSING
[OK] Antenna 2 Bergamo | OK | EPG MISSING
[OK] Antenna 2 | OK | EPG MISSING
[OK] Babayaga Tv | OK | EPG MISSING
[OK] Bergamo TV | OK | EPG MISSING
[DOWN] Canale1 Lombardia | DOWN | EPG MISSING
[OK] Cremona 1 | OK | EPG MISSING
[OK] E'live Brescia Tv | OK | EPG MISSING
[OK] E'live Brescia Tv | OK | EPG MISSING
[OK] Espansione TV | OK | EPG MISSING
[OK] Italia 8 Prestige | OK | EPG MISSING
[OK] Italia 9 Network | OK | EPG MISSING
[OK] Lombardia Tv 80 | OK | EPG MISSING
[OK] Milano Pavia TV | OK | EPG MISSING
[OK] Onda Novara TV | OK | EPG MISSING
[OK] Onda Novara TV | OK | EPG MISSING
[OK] Più Valli TV | OK | EPG MISSING
[OK] Radio 51 TV | OK | EPG MISSING
[OK] Radio 60 70 80 | OK | EPG MISSING
[OK] Radio Lombardia TV | OK | EPG MISSING
[OK] Radio Studio Più | OK | EPG MISSING
[OK] RTR 99 TV | OK | EPG MISSING
[OK] Rete 55 | OK | EPG MISSING
[OK] SeilaTV Bergamo | OK | EPG MISSING
[OK] SuperTv Brescia | OK | EPG MISSING
